# Generated from https://threatfox.abuse.ch/export/csv/domains/full/
127.0.0.1 qaz4.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1886021/
127.0.0.1 bt9bid9o.eng--nervealive.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1886019/
127.0.0.1 apappainting.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1886008/
127.0.0.1 eng-usa-nervealive.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1886007/
127.0.0.1 nsb-claimsolutions.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1886006/
127.0.0.1 wwvsg1jc.en-en-usa-memorylift.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1886005/
127.0.0.1 eng-usa-mindvault.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1886003/
127.0.0.1 eng-en-us-cardioslim.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1886002/
127.0.0.1 1y1skqz8.eng-us-thebrainsong.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885999/
127.0.0.1 milaka.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885968/
127.0.0.1 kingo.lol #botnet_cc, unknown_rat, Unknown RAT https://threatfox.abuse.ch/ioc/1885974/
127.0.0.1 buxulysy.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885978/
127.0.0.1 hen.yourbodybydesign.me #botnet_cc, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885975/
127.0.0.1 lewanoqu.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885984/
127.0.0.1 cloudfrontenterprise.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885985/
127.0.0.1 verico-de-id.beer #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885983/
127.0.0.1 fingerprint-verification.info #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885982/
127.0.0.1 cat.jumpskyhigh.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885981/
127.0.0.1 poconodessertco.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885980/
127.0.0.1 hen.yourbodybydesign.me #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885979/
127.0.0.1 631679.us26.myftpupload.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885810/
127.0.0.1 cabinetliquard.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885812/
127.0.0.1 171388.eu9.myftpupload.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885811/
127.0.0.1 dormelles.fr #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885813/
127.0.0.1 stg-thinkoralimplantsandperiodon-thinkoralstg.kinsta.cloud #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885814/
127.0.0.1 justiceteamnetwork.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885815/
127.0.0.1 blessupja.org #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885816/
127.0.0.1 ariannasales.it #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885817/
127.0.0.1 spawn-design.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885818/
127.0.0.1 minahspices.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885819/
127.0.0.1 hampsteadmobiletyrefitting.co.uk #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885820/
127.0.0.1 riatech.at #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885821/
127.0.0.1 test.livingroomindia.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885822/
127.0.0.1 gmpmachine.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885823/
127.0.0.1 dama.manizales.unal.edu.co #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885824/
127.0.0.1 shulinlakeresort.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885825/
127.0.0.1 verifyidsolutions.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885826/
127.0.0.1 foundationworldschool.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885827/
127.0.0.1 ssohospitals.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885828/
127.0.0.1 rafaelarceo.mx #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885829/
127.0.0.1 covesia.co.id #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885830/
127.0.0.1 wiselead.co.il #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885831/
127.0.0.1 yypost-main.net #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885832/
127.0.0.1 infoblockchain.ru #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885833/
127.0.0.1 gultekinlertekstil.com.tr #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885834/
127.0.0.1 hgh.whe.mybluehost.me #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885835/
127.0.0.1 585697.us20.myftpupload.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885836/
127.0.0.1 dueelletappezzeria.it #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885837/
127.0.0.1 acinterprojects.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885838/
127.0.0.1 stg-batrice-blwstaging.kinsta.cloud #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885839/
127.0.0.1 sumutpost.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885840/
127.0.0.1 qualitypropressurewashing.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885841/
127.0.0.1 wcateasy.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885842/
127.0.0.1 airbnb-kastoria.gr #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885843/
127.0.0.1 sos.pontomais.com.br #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885844/
127.0.0.1 standardcpc.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885845/
127.0.0.1 plshousing.org #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885846/
127.0.0.1 eversxcellence.co.za #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885847/
127.0.0.1 fabaagencies.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885848/
127.0.0.1 sumacrestaurant.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885849/
127.0.0.1 saharaexploring.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885850/
127.0.0.1 authentica.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885851/
127.0.0.1 zarox.karatasyasin058.workers.dev #botnet_cc, jar.microstealer, MicroStealer https://threatfox.abuse.ch/ioc/1885490/
127.0.0.1 soul.poconodessertco.com #botnet_cc, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885862/
127.0.0.1 culuvocu.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885917/
127.0.0.1 qibaty.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885921/
127.0.0.1 xavemo.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885932/
127.0.0.1 ruresu.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885934/
127.0.0.1 dez.sm188dnsx.top #botnet_cc, win.vidar, Vidar https://threatfox.abuse.ch/ioc/1885953/
127.0.0.1 wsp.sm188dnsxx.top #botnet_cc, win.vidar, Vidar https://threatfox.abuse.ch/ioc/1885954/
127.0.0.1 wsp.1234e.org #botnet_cc, win.vidar, Vidar https://threatfox.abuse.ch/ioc/1885935/
127.0.0.1 qs4vqdby.en-en-en-theeloncode.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885931/
127.0.0.1 extranethelp-desk26.com #payload_delivery, js.tonrat, TONResolver, TonRAT https://threatfox.abuse.ch/ioc/1885928/
127.0.0.1 load-file003.info #payload_delivery, js.tonrat, TONResolver, TonRAT https://threatfox.abuse.ch/ioc/1885929/
127.0.0.1 theflowgarden.ch #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885920/
127.0.0.1 eagleagents.ai #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885919/
127.0.0.1 bafybeihryapqa7lq7w3bc7cyqiipfyh7psq7qttgzp5euijblhohcmwweq.ipfs.w3s.link #botnet_cc, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885916/
127.0.0.1 oaime44590.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885912/
127.0.0.1 ixqya67702.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885909/
127.0.0.1 buhyfudy.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885908/
127.0.0.1 zacuca.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885907/
127.0.0.1 fingerprint-verification.info #botnet_cc, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885906/
127.0.0.1 nx7k0dvp.eng--memorylift.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885905/
127.0.0.1 7wagrm1i.mulip.store #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885904/
127.0.0.1 eng-eng-cardioslim.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885902/
127.0.0.1 ndg2zyyn.ejash.store #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885901/
127.0.0.1 bjctd84658.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885900/
127.0.0.1 kaqowofa.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885895/
127.0.0.1 app.dinkfoundry.com #botnet_cc, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885894/
127.0.0.1 wevafyfi.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885893/
127.0.0.1 counselor.ch #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885892/
127.0.0.1 blanautch.com #botnet_cc, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885891/
127.0.0.1 vuluxy.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885890/
127.0.0.1 vylodo.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885887/
127.0.0.1 1fn6h515.eng-usa-glycofree.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885886/
127.0.0.1 c3by2ffps3.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885885/
127.0.0.1 mygiwiwa.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885884/
127.0.0.1 kmout43212.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885882/
127.0.0.1 jvzw0nks.devle.store #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885881/
127.0.0.1 suketudo.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885878/
127.0.0.1 pyfebu.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885877/
127.0.0.1 eng-eng-burnblend.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885876/
127.0.0.1 33vivi.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885875/
127.0.0.1 hammer-gruppe.ch #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885874/
127.0.0.1 liqasy.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885872/
127.0.0.1 lujisuka.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885870/
127.0.0.1 fazejy.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885868/
127.0.0.1 boporume-c60.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885866/
127.0.0.1 fccransmontana.ch #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885865/
127.0.0.1 divilule.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885864/
127.0.0.1 8he0zbt6.eng-us-thebrainsong.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885861/
127.0.0.1 eng-us-thebrainsong.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885860/
127.0.0.1 xefivizo.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885859/
127.0.0.1 8gk9gsm3.eng--leptozan.us #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885858/
127.0.0.1 qorideti.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885857/
127.0.0.1 euqxu71106.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885856/
127.0.0.1 rvoea71516.workers.dev #botnet_cc, php.shin_webshell, php.shin_webshell https://threatfox.abuse.ch/ioc/1885853/
127.0.0.1 manjoorans.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885801/
127.0.0.1 creditt.com.au #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885802/
127.0.0.1 savoryit.onmybday.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885803/
127.0.0.1 mail.savoryit.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885804/
127.0.0.1 usainbolt.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885805/
127.0.0.1 634312.us27.myftpupload.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885806/
127.0.0.1 authorvisionpublishing.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885807/
127.0.0.1 urbanshamanmama.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885808/
127.0.0.1 timelinetrudev.wpengine.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885809/
127.0.0.1 abcdinhobiblico.com.br #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885790/
127.0.0.1 theroofersfl.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885791/
127.0.0.1 supracompanies.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885792/
127.0.0.1 ridgelinefit.us #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885793/
127.0.0.1 regenesiswellnesscenter.site #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885794/
127.0.0.1 ethrivehub.net #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885795/
127.0.0.1 eduskill.re #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885796/
127.0.0.1 erudites.ng #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885797/
127.0.0.1 tonyvingerhoets.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885798/
127.0.0.1 wellspringworshipministries.org #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885799/
127.0.0.1 ropanaho.free.nf #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885800/
127.0.0.1 ashalatabasuvidyalaya.org.in #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885774/
127.0.0.1 garciabrotherspestcontrol.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885775/
127.0.0.1 szaboszilviaingatlan.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885776/
127.0.0.1 cream.ac.uk #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885777/
127.0.0.1 usaccidentclaim.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885778/
127.0.0.1 nfsg.com.au #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885779/
127.0.0.1 buildnation.com.bd #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885780/
127.0.0.1 larkcontrucksales.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885781/
127.0.0.1 moradadosolpraia.com.br #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885782/
127.0.0.1 luxry.silentclaim.online #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885783/
127.0.0.1 s3o.it #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885784/
127.0.0.1 pbgphilanthropy.org #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885785/
127.0.0.1 kinnaurdelights.in #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885786/
127.0.0.1 roesforum.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885787/
127.0.0.1 brandhouse.com.bo #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885788/
127.0.0.1 nationalcybersecuritysociety.org #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885789/
127.0.0.1 uequities.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885771/
127.0.0.1 apply.gettencredit.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885772/
127.0.0.1 atx.my #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885773/
127.0.0.1 africa4tourism.com #payload_delivery, js.clearfake, ClearFake https://threatfox.abuse.ch/ioc/1885770/
127.0.0.1 tauruslines.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885767/
127.0.0.1 donavanfreberg.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885768/
127.0.0.1 lacelosia.es #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885769/
127.0.0.1 fergusoncurbappeal.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885746/
127.0.0.1 rup-shor.shop.shopnoghuribd.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885747/
127.0.0.1 cookie-clicker2.co #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885748/
127.0.0.1 wordpress-498130-2172574.cloudwaysapps.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885749/
127.0.0.1 groupe-urologie.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885750/
127.0.0.1 trana.co.id #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885751/
127.0.0.1 thomastaylorpartners.co #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885752/
127.0.0.1 servicestation.ie.w3pcloud.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885753/
127.0.0.1 paranaconstrutora.com.br #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885754/
127.0.0.1 serve2lead.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885755/
127.0.0.1 azarabeachhouse.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885756/
127.0.0.1 posttelevision.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885757/
127.0.0.1 sun-you.fr #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885758/
127.0.0.1 krishnamyfriend.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885759/
127.0.0.1 setierproperties.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885760/
127.0.0.1 verico-de-id #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885761/
127.0.0.1 mondaconsulting.net #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885762/
127.0.0.1 livetrack.co.za #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885764/
127.0.0.1 5gurus.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885765/
127.0.0.1 savoryit.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885766/
127.0.0.1 yogaundheilung.ch #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885733/
127.0.0.1 fedda.org.do #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885734/
127.0.0.1 hushlounge.co #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885735/
127.0.0.1 sakemania.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885736/
127.0.0.1 visitkacanik.info #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885737/
127.0.0.1 reachunitedstaging.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885738/
127.0.0.1 vrbinstitute.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885739/
127.0.0.1 bookdavinci.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885740/
127.0.0.1 rollti.sg #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885741/
127.0.0.1 hotelsaucesdelestadio.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885742/
